Technology,Familiarity,Percentage
Blind spot monitor,2. Familiar,24
Blind spot monitor,1. Very Familiar,26
Blind spot monitor,3. Not Familiar,50
Lane departure warning system,2. Familiar,25
Lane departure warning system,1. Very Familiar,20
Lane departure warning system,3. Not Familiar,55
Parking assistance,2. Familiar,23
Parking assistance,1. Very Familiar,20
Parking assistance,3. Not Familiar,57
Lane keep assistance,2. Familiar,22
Lane keep assistance,1. Very Familiar,18
Lane keep assistance,3. Not Familiar,60
Forward collision warning,2. Familiar,23
Forward collision warning,1. Very Familiar,16
Forward collision warning,3. Not Familiar,61
Collision avoidance system,2. Familiar,21
Collision avoidance system,1. Very Familiar,16
Collision avoidance system,3. Not Familiar,63
Automatic parking,2. Familiar,22
Automatic parking,1. Very Familiar,15
Automatic parking,3. Not Familiar,63
Adaptive cruise control,2. Familiar,17
Adaptive cruise control,1. Very Familiar,17
Adaptive cruise control,3. Not Familiar,66
Surround view system,2. Familiar,16
Surround view system,1. Very Familiar,11
Surround view system,3. Not Familiar,73
Pedestrian protection system,2. Familiar,14
Pedestrian protection system,1. Very Familiar,10
Pedestrian protection system,3. Not Familiar,76
Highway autopilot,2. Familiar,12
Highway autopilot,1. Very Familiar,10
Highway autopilot,3. Not Familiar,78
Driver drowsiness detection,2. Familiar,12
Driver drowsiness detection,1. Very Familiar,8
Driver drowsiness detection,3. Not Familiar,80
Intelligent speed adaption,2. Familiar,11
Intelligent speed adaption,1. Very Familiar,9
Intelligent speed adaption,3. Not Familiar,80
Night vision,2. Familiar,11
Night vision,1. Very Familiar,9
Night vision,3. Not Familiar,80
Emergency driver assistant,2. Familiar,11
Emergency driver assistant,1. Very Familiar,8
Emergency driver assistant,3. Not Familiar,81
Intersection assistant,2. Familiar,10
Intersection assistant,1. Very Familiar,7
Intersection assistant,3. Not Familiar,83
Traffic sign recognition,2. Familiar,9
Traffic sign recognition,1. Very Familiar,6
Traffic sign recognition,3. Not Familiar,85
